PONTUAL FARMACEUTICA
CONTROLADORA : PONTUAL FARMACÊUTICA NR2006
Resumo de vendas por cliente
01 Outubro 2025 - 09 Fevereiro 2026


Cliente ,CNPJ/CPF ,Vendas ,Representante de vendas ,Parceiro ,UF 
CF5806 Somaia M Teixeira,24999137895,"R$23.363,27",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5814 LUIZ ANTONIO DE CARVALHO  CAVALCANTI AUGUSTO,22848349735,"R$704.411,25",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5817 RICARDO TORRES SOARES,48551007653,"R$25.699,60",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5832 Carlos A Jorge,02702917844,"R$4.672,66",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5838 GUSTAVO SOUZA CAMPOS,06321969630,"R$32.283,83",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5845 Lorival M Cardoso,11869488091,"R$7.009,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5862 Aníbal Mutti,31028919859,"R$2.336,33",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5877 HUGO ALISSANDRO BERNANDES DE ALCANTARA,02640650939,"R$7.009,01",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PR
CF5881 HIDEKI B HIROTA,00478966121,"R$16.553,74",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MT
CF5887 Gustavo H Araujo Salomao,27086643874,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5915 MARCELA FERREIRA CORDELLINI,06658835950,"R$5.647,79",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF5993 RODRIGO DANTAS NAGASHIMA,00825016452,"R$25.699,61",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,CE
CF6019 MAURICIO B LOUREIRO CELINO,91110815468,"R$7.008,98",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PB
CF6020 ROGER SIMÕES,10768855780,"R$11.681,64",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6044 LUCIANO MOREIRA PINTO,70655545387,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6057 FREDERICO LIRIO NASCIMENTO DA SILVA,09432774775,"R$34.195,39",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6095 RAFAEL CARDOSO DE OLIVEIRA,87821788953,"R$116.816,76",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF6105 MOISES AUGUSTO DELSIN GOMES,36934881850,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6106 ICARO AUGUSTO GODINHO,07262352610,"R$7.008,99",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF6143 LUNARDE TADEU BIANCHETTI,13697790625,"R$6.265,62",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF6145 FERNANDO BALDESSIN MARIM,06862318721,"R$15.664,01",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6167 RENATO VIEIRA GOMES,05444617706,"R$18.796,81",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6186 NATALIA DE CARVALHO DIAS,06349406435,"R$1.566,41",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PE
CF6209 ELIONALDO FREITAS,11732838461,"R$8,30",,,
CF6210 ISABELLA FELIX QUNTANILHA YAMANE,10886146712,"R$2.008,21",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF6215 MATEUS INACIO LEMES DE RESENDE,01229809139,"R$4.699,20",,,MT
CJ006 AMIL ASSISTENCIA MEDICA INTERNACIONAL - RIO DE JANEIRO - RJ,29309127012266,"R$2.572.485,99",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,RJ
CJ011 HOSPITAL SANTA RITA DE CASSIA - VITORIA - ES,28137925000106,"R$298.056,00",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ016 BRADESCO SAUDE - RIO DE JANEIRO - RJ,92693118000160,"R$7.169.058,16",BHEATRIZ M BRAND BAPTISTA,7 779 CAIO LEME DE SOUZA TIROTI,RJ
CJ020 CABERJ  - RIO DE JANEIRO - RJ,42182170000184,"-R$34.350,26",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ021 CASSI - RIO DE JANEIRO - RJ,33719485001956,"R$405.655,55",BHEATRIZ M BRAND BAPTISTA,7 779 CAIO LEME DE SOUZA TIROTI,RJ
CJ026 CECON CENTRO CAPIXABA DE ONCOLOGIA - VITORIA - ES,39315171000145,"R$7.751,04",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ032 CTO - TRES RIOS - RJ,11813989000179,"R$25.824,00",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ033 CTO - PETROPOLIS - RJ,30638381000108,"R$237.957,80",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ045 CMS CENTRAL DE MANIPULACAO - BARRA DA TIJUCA - RJ,10479522000171,"R$116.204,67",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,RJ
CJ046 COI CLINICAS ONCOLOGICAS INTEGRADAS - BARRA DA TIJUCA - RJ,39086160000130,"R$116.803,66",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,RJ
CJ048 HOSPITAL SAO JOSE DO AVAI - ITAPERUNA - RJ,29640612000120,"R$293.522,71",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ050 DOM ONCOLOGIA - DIVINOPOLIS - MG,15420930000171,"R$803.842,77",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ054 HOSPITAL PAULISTANO BELA VISTA - SAO PAULO - SP,51722957015708,"R$351.889,49",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ058 ESHO EMPRESA DE SERVICOS HOSPITALARES - SAO PAULO - SP,29435005009932,"R$172.115,53",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ066 FUNDACAO CRISTIANO VARELLA - MURIAE - MG,00961315000103,"R$47.692,48",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ071 HOSPITAL FELICIO ROCHO - BELO HORIZONTE - MG,17214149000176,"R$4.939.381,29",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ075 ASSIM SAUDE - RIO DE JANEIRO - RJ,31925548000176,"R$87.597,50",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ087 HOSPITAL MATER DEI SA SANTO AGOSTINHO - BELO HORIZONTE - MG,16676520000159,"R$512.802,61",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ088 HOSPITAL MATER DEI SA BARRO PRETO - BELO HORIZONTE - MG,16676520000582,"R$369.635,24",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ089 HOSPITAL MERIDIONAL DE SAO MATEUS - CAPARINA - ES,10427478000156,"R$175.379,60",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ090 HOSPITAL MERIDIONAL CARIACICA - ES,00625711000151,"R$369.276,69",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ091 HOSPITAL PRAIA DA COSTA - VILA VELHA - ES,39298922000162,"R$150.430,74",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CJ096 HOSPITAL ADVENTISTA SILVESTRE - RIO DE JANEIRO - RJ,73696718000219,"R$19.906,83",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ099 I.O.M. - MACAE - RJ,04965920000103,"R$298.445,15",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ102 SANTA CASA DE MISERICORDIA DE RIO CLARO - SP,56384183000140,"R$200.325,00",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ106 MEDCLINICA DO CENTRO DE TERESOPOLIS - RJ,36238913000198,"R$28.913,00",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ118 ONCO & HEMATO SERVICOS MEDICOS - VITORIA - ES,01420861000272,"R$153.483,10",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ129 ONKO SOL ASSISTENCIA MEDICA ONCOLOGICA - CABO FRIO - RJ,04703117000192,"R$596.361,93",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ130 GARANTIA DE SAUDE BOTAFOGO - RIO DE JANEIRO - RJ,02774736000142,"R$950.297,14",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ1330 QUALITY HEALTH CARE - BRASILIA - DF,13604595000136,"R$68.170,77",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,DF
CJ1334 UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MEDICO - MG,21839519000561,"R$74.843,00",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ1339 HOSPITAL 22 DE OUTUBRO - MOGI MIRIM - SP,05770973000123,"R$215.469,79",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ1364 SAO FRANCISCO VIDA - JACAREI - SP,14946109000120,"R$418.534,31",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ1381 UNIMED SUL PAULISTA ITAPETININGA - SP,57149775000574,"R$24.464,00",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ139 SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI - MG,24729097000136,"R$186.438,22",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ1398 ASSOCIAÇAO DOS FORNECEDORES DE CANA DE PIRACICABA - SP,54384631000261,"R$479.356,80",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ1429 HOSPITAL DONA HELENA - JOINVILLE - SC,84694405000167,"R$839.473,74",MATEUS AUGUSTO LEME CRISPIM,23 SETOR SC,SC
CJ144 HOSPITAL SIRIO LIBANES BELA VISTA - SAO PAULO - SP,61590410000124,"R$12.706.168,55",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ148 HOSPITAL SAO PAULO - ARARAQUARA - SP,45272366001553,"R$1.872.389,01",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ149 HOSPITAL UNIMED ARARAS - SP,54012406000385,"R$592.807,03",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ150 UNIMED BELO HORIZONTE - BETIM - MG,16513178006611,"R$86.206,25",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ152 UNIMED CAMPOS DOS GOYTACAZES - RJ,40294225000201,"R$355.413,17",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ156 UNIMED DE BARRA MANSA - SP,29290152000158,"R$289.222,72",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ157 HOSPITAL UNIMED BIRIGUI - SP,65732836000398,"R$220.581,80",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ1572 UNIMED GERAIS DE MINAS - CURVELO - MG,26189530000113,"R$315.939,88",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ159 UNIMED DE NOVA FRIBURGO - RJ,29135795000208,"R$1.248.187,97",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ161 UNIMED DE PIRACICABA - SP,44803922000293,"R$1.583.131,68",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ163 HOSPITAL UNIMED SANTA BARBARA D'OESTE - SP,48628366000217,"R$1.849.188,06",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ164 UNIMED DE VOLTA REDONDA - RJ,35917970000726,"R$1.107.124,74",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ166 UNIMED JUIZ DE FORA - MG,17689407000170,"R$159.918,44",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ1665 IRMANDADE DA SANTA CASA DE MISERICORDIA DE PIRACICABA - SP,54370630000187,"R$106.032,78",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ1681 HOSPITAL SIRIO LIBANES UNIDADE ITAIM - SP,61590410000396,"R$48.744,69",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ169 HOSPITAL UNIMED NOROESTE CAPIXABA - COLATINA - ES,39384664000218,"R$112.296,05",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ1691 INSTITUTO D CLINICAS E CIRURGIA DE JUIZ DE F,25415993000193,"R$10.032,00",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ172 UNIMED NORTE FLUMINENSE - SILVA JARDIM - RJ,30417661000188,"R$90.451,77",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ173 UNIMED NOVA IGUACU - RJ,28714533000154,"R$1.329.009,56",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ174 HOSPITAL UNIMED PETROPOLIS - RJ,28806545000532,"R$30.836,75",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ1742 CRUZ AZUL DE SAO PAULO - SP,62106505000192,"R$251.369,20",BHEATRIZ M BRAND BAPTISTA,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ176 HOSPITAL UNIMED RESENDE - RJ,68709211000212,"R$183.069,00",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ1779 AUSTACLINICAS ASSISTENCIA MEDICA E HOSPITALAR - SAO JOSE DO RIO PRETO - SP,59847780000152,"R$530.077,49",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ1796 HOSPITAL DO CIRCULO - CAXIAS DO SUL - RS,88645403001372,"R$514.641,83",MATEUS AUGUSTO LEME CRISPIM,15 MARCIA-MNUNES REPRESENTACAO,RS
CJ180 UNIMED RIO BARRA DA TIJUCA - RIO DE JANEIRO - RJ,09219138000584,"R$10.126,21",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ182 SANTOS DUMONT HOSPITAL - UNIDADE TIVOLI - SAO JOSE DOS CAMPO - SP,60214517001691,"R$2.720.835,50",BHEATRIZ M BRAND BAPTISTA,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ183 UNIMED DE SAO JOSE DO RIO PRETO - JARDIM ALTO DO RIO PRETO - SP,45100138000362,"R$5.979.526,89",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ1830 UNIMED DE BAURU - SP,44456036000311,"R$1.905.158,31",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ186 HOSPITAL UNIMED VITORIA - ES,27578434001525,"R$12.373.059,08",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ189 NEON - VILA VELHA - ES,04786490000154,"R$232.386,39",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ1900 COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA - SP,45615309000124,"R$195.663,88",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ193 HOSPITAL SIRIO LIBANES - ASA SUL - BRASILIA - DF,61590410000558,"R$1.834.953,83",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,DF
CJ194 HOSPITAL SIRIO LIBANES IV - ASA SUL - BRASILIA - DF,61590410001287,"R$7.075.287,29",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,DF
CJ1994 PETROLEO BRASILEIRO - RIO DE JANEIRO - RJ,39427632000171,"R$123.233,64",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ2001 UNIMED DE SANTOS - SP,58229691001402,"R$2.153.058,31",BHEATRIZ M BRAND BAPTISTA,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ2007 HOSPITAL SAO VICENTE - SAO JOSÉ DO RIO PARDO -SP,59901454000186,"R$58.233,61",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2020 UNIMED DE ASSIS - SP,54991211000405,"R$24.552,00",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ2022 HOSPITAL UNIMED LIMEIRA - SP,50480953000253,"R$1.050.033,45",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ203 UNIMED DE BARRETOS - SP,71925531000303,"R$122.726,08",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2032 UNIMED CAMPINAS - SP,46124624002599,"R$1.490,23",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2034 UNIMED DE JUNDIAI - SP,56727134000163,"R$954.634,40",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ204 UNIMED LESTE PAULISTA - SAO JOAO DA BOA VISTA - SP,53678264000246,"R$1.301.998,51",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ206 HOSPITAL UNIMED SUL CAPIXABA - CACHOEIRO DE ITAPEMIRIM - ES,32440968002098,"R$661.047,46",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ208 UNIMED DE SAO ROQUE - SP,74521188000230,"R$148.277,24",BHEATRIZ M BRAND BAPTISTA,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ210 CLINICASSI - BRASILIA - DF,33719485006087,"R$11.136,05",BHEATRIZ M BRAND BAPTISTA,7 779 CAIO LEME DE SOUZA TIROTI,DF
CJ2141 UNIMED DE MARILIA - SALGADO FILHO - SP,66872888000160,"R$2.482.313,47",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ2173 HOSPITAL UNIMED ITAJUBA - MG,23802218000246,"R$68.791,63",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,09528436000122,"R$1.331.176,89",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ2288 GS PLANO GLOBAL DE SAUDE - NOVA FRIBURGO - RJ,04165719000133,"R$53.780,34",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ2411 HOSPITAL MATER DEI BETIM - MG,16676520000825,"R$25.269,13",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2624 ONCOFARMA - SANTO AMARO - SP,01529206000176,"R$11.115,54",NATHALIA RODRIGUES RAMOS MAINIER,22 SIRLENE MARCELINO,SP
CJ2630 UNIMED DE AVARE - SP,50368034000373,"R$506.211,38",Vanusa Garcia Da Silva,14 ANDRÉ- AVOC CONSULTORIA,SP
CJ2633 UNIMED DE CAPIVARI COOPERATIVA DE TRABALHO MEDICO - CAPIVARI - SP,59499251000296,"R$148.552,89",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2653 HOSPITAL ONCOVIDA - MONTES CLAROS - MG,03006076000112,"R$955.067,01",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2658 UNIMED DE JABOTICABAL - SP,72783970000545,"R$184.658,23",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2665 UNIMED NORTE PAULISTA - ITUVERAVA - SP,69087922000427,"R$289.439,54",ANA CAROLINE DA SILVA XAVIER,21 LUCAS GUILHERME ZANCANELLA BERALDO,SP
CJ2674 HOSPITAL SAO JOSE - REGISTRO - SP,55855555000107,"R$50.116,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CJ2689 FLEX SOLUCOES EM GESTAO DE SAUDE - ITAJAI - SC,07447729000311,"R$14.616.683,37",BHEATRIZ M BRAND BAPTISTA,7 779 CAIO LEME DE SOUZA TIROTI,SC
CJ2691 ONCOLESTE - GOVERNADOR VALADARES - MG,01058512000171,"R$278.037,92",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2696 UNIMED GUARULHOS - SP,74466137001063,"R$517.096,94",BHEATRIZ M BRAND BAPTISTA,13 COMERCIAL CAROLINE SOUSA LTDA,SP
CJ2704 UNIMED ARAXA - MG,25910449000460,"R$235.173,25",MARIA EDUARDA  SOUZA FARIAS,10 WENDEL- VILARINHO REPRESENTAÇÕES LTDA,MG
CJ2718 ELETROS SAUDE - RIO DE JANEIRO - RJ,34844263000107,"R$45.859,37",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
CJ2732 HOSPITAL SIRIO LIBANES V - ASA NORTE - BRASILIA - DF,61590410002500,"R$3.878.835,33",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,DF
CJ2784 UNIDADE ASSISTENCIAL UNIMED LINHARES - ES,35988963000715,"R$17.969,11",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ2795 UNIMED JUIZ DE FORA HOSPITAL DR HUGO BORGES - JUIZ DE FORA - MG,17689407000847,"R$2.206.918,19",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2805 HOSPITAL UNIMED PRONTO ATENDIMENTO - POÇOS DE CALDAS -MG,41781949000234,"R$994,89",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,MG
CJ2811 UNIMED ENCOSTA DA SERRA  - TAQUARA - RS,73936395001001,"R$2.213,67",MATEUS AUGUSTO LEME CRISPIM,15 MARCIA-MNUNES REPRESENTACAO,RS
