PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por cliente
01 Outubro 2025 - 10 Fevereiro 2026


Cliente ,Vendas 
CJ130 GARANTIA DE SAUDE BOTAFOGO - RIO DE JANEIRO - RJ,"R$950.297,14"
CJ1339 HOSPITAL 22 DE OUTUBRO - MOGI MIRIM - SP,"R$215.469,79"
CJ1364 SAO FRANCISCO VIDA - JACAREI - SP,"R$418.534,31"
CJ1381 UNIMED SUL PAULISTA ITAPETININGA - SP,"R$24.464,00"
CJ1398 ASSOCIAÇAO DOS FORNECEDORES DE CANA DE PIRACICABA - SP,"R$479.356,80"
CJ144 HOSPITAL SIRIO LIBANES BELA VISTA - SAO PAULO - SP,"R$13.308.753,75"
CJ148 HOSPITAL SAO PAULO - ARARAQUARA - SP,"R$1.941.152,92"
CJ149 HOSPITAL UNIMED ARARAS - SP,"R$687.654,29"
CJ152 UNIMED CAMPOS DOS GOYTACAZES - RJ,"R$355.413,17"
CJ156 UNIMED DE BARRA MANSA - SP,"R$289.222,72"
CJ157 HOSPITAL UNIMED BIRIGUI - SP,"R$253.615,55"
CJ159 UNIMED DE NOVA FRIBURGO - RJ,"R$1.248.187,97"
CJ161 UNIMED DE PIRACICABA - SP,"R$1.583.131,68"
CJ163 HOSPITAL UNIMED SANTA BARBARA D'OESTE - SP,"R$1.913.101,75"
CJ164 UNIMED DE VOLTA REDONDA - RJ,"R$1.107.124,74"
CJ1665 IRMANDADE DA SANTA CASA DE MISERICORDIA DE PIRACICABA - SP,"R$106.032,78"
CJ1681 HOSPITAL SIRIO LIBANES UNIDADE ITAIM - SP,"R$48.744,69"
CJ172 UNIMED NORTE FLUMINENSE - SILVA JARDIM - RJ,"R$90.451,77"
CJ173 UNIMED NOVA IGUACU - RJ,"R$1.456.674,54"
CJ174 HOSPITAL UNIMED PETROPOLIS - RJ,"R$30.836,75"
CJ1742 CRUZ AZUL DE SAO PAULO - SP,"R$251.369,20"
CJ176 HOSPITAL UNIMED RESENDE - RJ,"R$183.069,00"
CJ1779 AUSTACLINICAS ASSISTENCIA MEDICA E HOSPITALAR - SAO JOSE DO RIO PRETO - SP,"R$574.440,40"
CJ180 UNIMED RIO BARRA DA TIJUCA - RIO DE JANEIRO - RJ,"R$10.126,21"
CJ182 SANTOS DUMONT HOSPITAL - UNIDADE TIVOLI - SAO JOSE DOS CAMPO - SP,"R$2.724.754,98"
CJ183 UNIMED DE SAO JOSE DO RIO PRETO - JARDIM ALTO DO RIO PRETO - SP,"R$6.628.730,79"
CJ1830 UNIMED DE BAURU - SP,"R$1.905.158,31"
CJ1900 COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA - SP,"R$195.663,88"
CJ193 HOSPITAL SIRIO LIBANES - ASA SUL - BRASILIA - DF,"R$1.834.953,83"
CJ194 HOSPITAL SIRIO LIBANES IV - ASA SUL - BRASILIA - DF,"R$7.992.426,14"
CJ1994 PETROLEO BRASILEIRO - RIO DE JANEIRO - RJ,"R$152.880,32"
CJ2001 UNIMED DE SANTOS - SP,"R$2.153.058,31"
CJ2007 HOSPITAL SAO VICENTE - SAO JOSÉ DO RIO PARDO -SP,"R$58.233,61"
CJ2020 UNIMED DE ASSIS - SP,"R$24.552,00"
CJ2022 HOSPITAL UNIMED LIMEIRA - SP,"R$1.094.821,05"
CJ203 UNIMED DE BARRETOS - SP,"R$122.726,08"
CJ2032 UNIMED CAMPINAS - SP,"R$1.490,23"
CJ2034 UNIMED DE JUNDIAI - SP,"R$917.520,33"
CJ204 UNIMED LESTE PAULISTA - SAO JOAO DA BOA VISTA - SP,"R$1.301.998,51"
CJ208 UNIMED DE SAO ROQUE - SP,"R$148.277,24"
CJ210 CLINICASSI - BRASILIA - DF,"R$11.136,05"
CJ2141 UNIMED DE MARILIA - SALGADO FILHO - SP,"R$2.493.423,64"
CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,"R$1.331.176,89"
CJ2288 GS PLANO GLOBAL DE SAUDE - NOVA FRIBURGO - RJ,"R$58.670,23"
CJ2624 ONCOFARMA - SANTO AMARO - SP,"R$11.115,54"
CJ2630 UNIMED DE AVARE - SP,"R$506.211,38"
CJ2633 UNIMED DE CAPIVARI COOPERATIVA DE TRABALHO MEDICO - CAPIVARI - SP,"R$148.552,89"
CJ2658 UNIMED DE JABOTICABAL - SP,"R$184.658,23"
CJ2665 UNIMED NORTE PAULISTA - ITUVERAVA - SP,"R$289.439,54"
CJ2689 FLEX SOLUCOES EM GESTAO DE SAUDE - ITAJAI - SC,"R$14.894.998,92"
CJ2696 UNIMED GUARULHOS - SP,"R$517.096,94"
CJ2718 ELETROS SAUDE - RIO DE JANEIRO - RJ,"R$45.859,37"
CJ2732 HOSPITAL SIRIO LIBANES V - ASA NORTE - BRASILIA - DF,"R$3.918.092,88"
CJ2822 FUNDACAO ANTONIO PRUDENTE A C CAMARGO - LIBERDADE - SP,"R$3.886.263,00"
CJ2823 UNIMED DE RIBEIRAO PRETO - SP,"R$692.194,55"
CJ2948 INSTITUTO DE ONCOLOGIA - JUNDIAI - SP,"R$161.124,48"
CJ3032 PRONTO SOCORRO MEDSENIOR - BELO HORIZONTE - MG,"R$933.824,71"
CJ3057 CORP - SAO JOSE DO RIO PRETO - SP,"R$40.224,18"
CJ306 CAMED - FORTALEZA - CE,"R$32.311,44"
CJ3092 SAO LUCAS SAUDE - AMERICANA - SP,"R$499.958,39"
CJ3099 UNIMED CENTRO PAULISTA - LIMEIRA - SP,"R$9.894,48"
CJ3121 UNIMED ALTA MOGIANA - ORLANDIA - SP,"R$102.455,86"
CJ3159 HOSPITAL DE BASE - SAO JOSE DO RIO PRETO - SP,"R$1.104.586,81"
CJ319 CLINICA DE ONCOLOGIA E MASTOLOGIA DE NATAL - RN,"R$321.904,18"
CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,"R$851.902,79"
CJ3231 HOSPITAL UNIMED SAO CARLOS  - UNIDADE II - SP,"R$2.082.017,36"
CJ3264 NOVO HOSPITAL ROD UNIMED SALTO ITU - SP,"R$7.633,91"
CJ3290 HOSPITAL UNIMED REGIONAL JAU - SP,"R$902.621,05"
CJ3297 SERVICO DE QUIMIOTERAPIA UNIMED DE JABOTICABAL - SP,"R$645.192,01"
CJ3311 DF TRANSPORTES - BRASILIA - DF,"R$78.747,70"
CJ3423 INCOP INSTITUTO DO CANCER OESTE PAULISTA - PRESIDENTE PRUDENTE  - SP,"R$259.531,70"
CJ3427 ALBERT SABIN HOSPITAL E MATERNIDADE - ATIBAIA  - SP,"R$108.061,09"
CJ3435 HOSPITAL UNIMED DE RIO CLARO - SP,"R$814.722,26"
CJ3470 ONCO CLINICAS - SOROCABA - SP,"R$1.716.578,95"
CJ3483 UNIMED ITATIBA - SP,"R$18.627,21"
CJ358 MEDRADIUS - MACEIO - AL,"R$11.898,73"
CJ3596 SAUDE BENEFICENCIA - CAMPINAS - SP,"R$214.348,16"
CJ364 OMINT SAUDE - SAO PAULO - SP,"R$734.663,24"
CJ3644 HOSPITAL UNIMED - UNIDADE ANCHIETA - JUNDIAI - SP,"R$381.560,52"
CJ3655 C.T.O. - RIBEIRAO PRETO - SP,"R$261.115,54"
CJ3687 UNIMED DE MOCOCA - SP,"R$224.776,95"
CJ3783 IPC - SAO PAULO - SP,"R$1.395.114,17"
CJ382 QUIMIOCLINIC - FORTALEZA - CE,"R$9.758,72"
CJ383 HOSPITAL PORTUGUES - RECIFE - PE,"R$85.736,21"
CJ384 HOSPITAL PORTUGUES - SALVADOR - BA,"R$22.317,35"
CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,"R$113.914,85"
CJ3950 PHS SAMARITANO SAUDE - CAMPINAS - SP,"R$255.909,14"
CJ3962 HOSPITAL CARLOS FERNANDO MALZONI - MATAO - SP,"R$79.511,23"
CJ3975 HOSPITAL PADRE ALBINO - CATANDUVA - SP,"R$275.280,37"
CJ400 HOSPITAL UNIMED MACEIO - AL,"R$1.574.850,08"
CJ401 UNIMED NATAL - RN,"R$4.508.578,32"
CJ4012 HOSPITAL POLICLIN - SAO JOSE DOS CAMPOS - SP,"R$181.968,91"
CJ403 HOSPITAL UNIMED RECIFE - PE,"R$223.598,62"
CJ4039 HOSPITAL UNIMED ANTONIO GELIS - LINS -SP,"R$511.923,50"
CJ404 UNIMED LESTE FLUMINENSE - NITEROI - RJ,"R$77.157,59"
CJ405 UNIMED SERGIPE - ARACAJU - SE,"R$642.200,74"
CJ4066 CASSI - CLINICASSI SAO JOSE DO RIO PRETO - SP,"R$469.141,67"
CJ4073 MEDSENIOR BRASILIA - DF,"R$592.500,57"
CJ408 HOSPITAL SANTA CECILIA - VOLTA REDONDA - RJ,"R$14.240,62"
CJ4160 UNIMED RIO PRONTO ATENDIMENTO FILIAL - COPACABANA - RJ,"R$11.648,00"
CJ4195 SAO JOAQUIM HOSPITAL E MATERNIDADE - FRANCA - SP,"R$2.178.217,69"
CJ4207 ONCOVIE SERVICOS DE ONCOLOGIA HEMATOLOGIA E TERAPIA BIOLOGICA - FORTALEZA - CE,"R$34.425,89"
CJ4208 NOHC - NUCLEO DE ONCOLOGIA E HEMATOLOGIA DO CEARA - FORTALEZA - CE,"R$8.994,24"
CJ421 HOSPITAL VERA CRUZ - CAMPINAS - SP,"R$4.888.375,60"
CJ4232 CASA DE SAUDE SANTA HELENA - SAO JOSE DO RIO PRETO - SP,"R$5.221,22"
CJ424 UNIMED DE PRESIDENTE PRUDENTE - SP,"R$3.522.294,84"
CJ4247 HOSPITAL UNIMED COSTA DO SOL - UNIDADE GLORIA - MACAE - RJ,"R$1.019.833,06"
CJ4258 IMIP - RECIFE - PE,"R$3.162,13"
CJ4294 PRONTO ATENDIMENTO CENTRO MEDICO SAO CAMILO - INDAIATUBA - SP,"R$29.999,95"
CJ4295 UNIMED DE BATATAIS - SP,"R$3.569,91"
CJ4313 HOSPITAL UNIMED AMERICANA - SP,"R$13.543,70"
CJ4438 HOSPITAL SAMARITANO PAULISTA - SAO PAULO - SP,"R$517,81"
CJ4455 TRANSMONTANO SAUDE SE - SAO PAULO - SP,"R$1.024.852,83"
CJ4456 SANTA CASA DE MISERICORDIA DE TUPA - SP,"R$16.362,72"
CJ4494 HOSPITAL SAO FRANCISCO - MOGI GUACU - SP,"R$12.232,00"
CJ4595 UNIMED DE SOROCABA - SP,"R$730.941,34"
CJ4655 HOSPITAL UNIMED DE ARACATUBA - SP,"R$352.472,66"
CJ4667 HOSPITAL UNIMED CUIABA - MT,"R$3.770.582,97"
CJ4728 CENTRO ONCOLOGICO DEVITA - SOROCABA - SP,"R$780.504,50"
CJ4737 AMERICANCOR HOSPITAL - RIO DE JANEIRO - RJ,"R$8.773,83"
CJ4753 HOSPITAL INFANTE DOM HENRIQUE - SAO JOSE DO RIO PRETO - SP,"R$401.807,02"
CJ4757 NOA - NUCLEO DE ONCOLOGIA DO AGRESTE - CARUARU - PE,"R$422.201,28"
CJ4766 CASSEMS - CAMPO GRANDE - MS,"R$3.765.256,75"
CJ4794 INSTITUTO MULTIDICIPLINAR DE CANCEROLOGIA - SAO JOSE DOS CAMPOS - SP,"R$330.023,02"
CJ4795 PRONTO SOCORRO MEDSENIOR - VILA VELHA - ES,"R$120.854,32"
CJ4804 SERMED SAUDE - SERTAOZINHO - SP,"R$87.973,83"
CJ4820 SANTA CASA DE MISERICORDIA DE VOTUPORANGA - SP,"R$30.447,90"
CJ4837 HOSPITAL SAGRADO CORAÇAO DE JESUS - ARAÇATUBA - SP,"R$158.815,49"
CJ4839 HOSPITAL SANTA FILOMENA - RIO CLARO - SP,"R$6.821,49"
CJ4855 UNIMED OS BANDEIRANTES - CTO UNIDADE ITATIBA - SP,"R$106.205,17"
CJ4858 BRASIL SAUDE - NILOPOLIS - RJ,"R$357.822,87"
CJ4869 HOSPITAL ALVORADA MOEMA - SAO PAULO - SP,"R$123.048,13"
CJ4879 CENTRO MEDICO UNIMED DE ADAMANTINA - SP,"R$2.670,45"
CJ4890 MCW PRODUTOS MEDICOS E HOSPITALARES - VERA CRUZ - RS,"-R$256,08"
CJ4906 IBCC ONCOLOGIA - SAO PAULO - SP,"R$1.816.683,81"
CJ4918 FUNDACAO PIO XII - HOSPITAL DE AMOR - JALES - SP,"R$29.519,16"
CJ4920 UNIMED DE IBITINGA - MEDICINA PREVENTIVA ITAPOLIS - SP,"R$147.383,32"
CJ4925 CDU - CENTRO DE DIAGNOSTICO UNIMED - BAURU - SP,"R$253.223,47"
CJ4945 VIVA FARMACEUTICA - BELO HORIZONTE - MG,"R$334.196,79"
CJ4948 VIP FARMA HEALTH SOLUTION IN MEDICINES - SAO PAULO - SP,"R$6.699,63"
CJ4954 NAIC - NAIR ANTUNES INSTITUTO DE CANCER - BAURU - SP,"R$58.189,65"
CJ4958 FUNDO ESTADUAL - PORTO VELHO - RO,"R$244.768,17"
CJ4969 INTEGRALMED DISTRIBUIDORA - NITEROI - RJ,"R$37.719,62"
CJ4971 MEDSENIOR - PRONTO SOCORRO - RIO DE JANEIRO - RJ,"R$495.515,35"
CJ4995 ALIRIA MEDICAMENTOS ESPECIAIS - FLORIANOPOLIS - SC,"R$626.249,45"
CJ4996 NUCLEO DE ATENCAO INTEGRAL A SAUDE - UNIMED SOROCABA - SP,"R$430.213,57"
CJ5006 HOSPITAL DO CORACAO - SAO PAULO - SP,"R$190.334,90"
CJ5016 IBCC - INSTITUTO BRASILEIRO DE CONTOLE DO CANCER VILA MARIANA - SAO PAULO - SP,"R$38.854,92"
CJ5036 HOSPITAL UNIMED CAMPO GRANDE - MS,"R$2.602.377,06"
CJ5045 HOSPITAL E MATERNIDADE SANTA TEREZA - CAMPINAS - SP,"R$811.532,73"
CJ5077 GAMSO - BELEM - PA,"R$2.264.676,94"
CJ5090 S3 MED - VILA VELHA - ES,"R$240.754,06"
CJ5097 SANTA CASA DE MISERICORDIA DE MARILIA - SP,"R$384.458,37"
CJ5110 DISTRITO FEDERAL SECRETARIA DE SAUDE - BRASILIA - DF,"R$99.792,00"
CJ5130 INSTITUTO DE ONCOLOGIA DO ARAGUAIA - BARRA DO GARCAS - MT,"R$189.577,98"
CJ5131 UNIMED VALE DO SEPOTUBA - SERVICOS PROPRIOS - TANGARA DA SERRA - MT,"R$792.456,67"
CJ5132 FARMACIA UNIMED - SINOP - MT,"R$758.270,91"
CJ5148 HOSPITAL UNIMED RONDONOPOLIS - MT,"R$462.775,79"
CJ5149 UNIMED TERESINA COOPERATIVA DE TRABALHO MEDICO - PI,"R$1.209.210,59"
CJ5152 UNIMED DE RIBEIRAO PRETO - SP,"R$1.472,26"
CJ5170 CENTRO DE TERAPIA INFUSIONAL - BEBEDOURO - SP,"R$440.637,77"
CJ5172 CECANS CENTRO DO CANCER DE SINOP - MT,"R$432.101,41"
CJ5175 SAUDE SANTA TEREZA - CAMPINAS - SP,"R$135.405,10"
CJ5192 PRONTO ATENDIMENTO UNIMED DRACENA - SP,"R$319.091,45"
CJ5202 INSTITUTO VITARE - SAO PAULO - SP,"R$695.913,56"
CJ5224 CCC - CENTRO DE COMBATE AO CANCER - SÃO PAULO - SP,"R$115.603,66"
CJ5254 PRO-GOODS - DELIVERY - SAO PAULO - SP,"R$11.827,00"
CJ5256 PROGOODS - DISTRIBUIDORA - SÃO PAULO - SP,"R$179.375,00"
CJ5261 ONCOCENTER - SAO PAULO - SP,"R$211.068,98"
CJ5271 CITAC - CENTRO INTEGRADO DE TRATAMENTO AMBULATORIAL DO CANCER - SANTOS - SP,"R$160.444,97"
CJ5276 HOSPITAL ISRAELITA ALBERTEINSTEIN - SÃO PAULO - SP,"R$734.320,85"
CJ5286 ONCOMED - CUIABA - MT,"R$2.034.760,29"
CJ5303 ANETE CLIN  - SÃO PAULO - SP,"R$818.257,11"
CJ5305 MEDSENIOR CURITIBA - PR,"R$7.259,62"
CJ5311 GABINETE DO SECRETARIO - SES - RIO DE JANEIRO - RJ,"R$493.126,67"
CJ5317 UP FARMACEUTICA - VILA VELHA - ES,"R$102.996,78"
CJ5328 CIP - SAO PAULO - SP,"R$7.208.325,74"
CJ5362 GUSUKUMA OFTALMOLOGIA ESPECIALIZADA - CACOAL - RO,"R$16.354,35"
CJ5370 ONCOVIDA - CUIABA - MT,"R$473.211,99"
CJ5395 SECRETARIA DE ESTADO DE SAUDE PUBLICA - SESPA - BELEM - PA,"R$164.166,33"
CJ5431 VERA CRUZ PLANO DE SAUDE - CAMPINAS - SP,"R$1.654.112,02"
CJ5438 UNIMED JOAO PESSOA COOPERATIVA DO TRABALHO MEDICO - PB,"R$2.134.101,50"
CJ5460 HOSPITAL MUNICIPAL GILSON DE CASSIA MARQUES DE CARVALHO - SÃO PAULO - SP,"R$427.715,58"
CJ5464 INSTITUTO ONCOLOGICO DE RIBEIRAO PRETO - RIBEIRÃO PRETO - SP,"R$140.299,82"
CJ5468 VGR MEDICAL DISTRIBUIDORA E IMPORTADORA DE PRODUTOS MEDICOS - DUQUE DE CAXIAS - RJ,"-R$1.822,55"
CJ5523 ONCOLOGISTAS ASSOCIADOS - SAO PAULO - SP,"R$470.309,85"
CJ5525 HOSPIDROGAS - VILA VELHA - ES,"-R$20,26"
CJ5545 SMS - SECRETARIA MUNICIPAL DE SAUDE - CUIABÁ - MT,"-R$100.389,30"
CJ5583 OESTE SAUDE - OPERADORA DE SAÚDE - PRESIDENTE PRUDENTE - SP,"R$13.810,50"
CJ5611 REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA - SÃO PAULO - SP,"R$434.569,85"
CJ5623 FLEURY MEDICINA E SAUDE - SÃO PAULO - SP,"R$45.649,02"
CJ5633 ONCOCLINICA DOURADOS - MS,"R$209.965,13"
CJ5636 HG RAUPP ONCOLOGIA BRASIL - CURITIBA - PR,"R$5.289,90"
CJ5640 UNIMED - CATANDUVA - SP,"R$39.329,39"
CJ5649 RN SEC DA SAUDE PUBLICA GAB SECRETARIO - NATAL - RN,"R$2.297.990,02"
CJ5653 FUNDO ESTADUAL DE SAÚDE - ARACAJU - SE,"R$159.644,55"
CJ5655 SES MT - CUIABA - MT,"R$463.924,03"
CJ5659 SESAU - MACEIO - AL,"R$54.714,04"
CJ5662 NOVA LIMA PREFEITURA GABINETE DO PREFEITO - MG,"R$58.654,13"
CJ5665 HOSPITAL EVANGELICO DE SOROCABA - SP,"R$17.488,63"
CJ5667 SAHA SERVICOS MEDICOS E HOSPITALARES - SÃO PAULO - SP,"R$1.002.039,56"
CJ5681 H.FOA - HOSPITAL DA FOA - VOLTA REDONDA - RJ,"R$121.306,11"
CJ5694 SANTA CASA DE MACEIO - CENTRAL DE DISTRIBUICAO - AL,"R$15.447,77"
CJ5698 UNIMED SAQUAREMA - RJ,"R$49.352,40"
CJ5713 INSUMA - RIO DE JANEIRO - RJ,"R$128.102,32"
CJ5714 HOSPITAL AUSTA - SAO JOSE DO RIO PRETO - SP,"R$6.818,06"
CJ5720 INSUMA - SAO PAULO - SP,"R$3.105.959,54"
CJ5721 HOSPITAL DA UNIMED EM JUAZEIRO - BA,"R$37.407,90"
CJ5733 REDE PRIMAVERA - HOSPITAL PRIMAVERA - ARACAJU - SE,"R$452.772,44"
CJ5734 UNIMED TRES RIOS COOPERATIVA DE TRABALHO MEDICO - RJ,"R$113.322,00"
CJ5757 ESPACO SAUDE UNIMED - AMPARO - SP,"R$316.334,90"
CJ5762 ABC FARMACEUTICO - VILA VELHA -ES,"R$298.396,31"
CJ5767 SAO DOMINGOS SAUDE - CATANDUVA - SP,"R$10.236,45"
CJ5772 COMPLEXO HOSPITALAR UNIMED GUARULHOS - SP,"R$395.798,92"
CJ5773 GDS HOSP - APARECIDA DE GOIANIA - GO,"R$2.782,23"
CJ5776 AMAVITA CLINICA ONCOLOGICA - BAURU - SP,"R$92.117,04"
CJ5781 UNIMED SJRPRETO - SAO JOSE DO RIO PRETO - SP,"-R$953,95"
CJ5782 ONCOCENTER - CUIABÁ - MT,"R$1.102.872,91"
CJ5786 SAO JOAO FARMACIAS - PASSO FUNDO - RS,"R$97.344,00"
CJ5788 SAO JOAO FARMACIAS - GRAVATAI - RS,"R$87.298,56"
CJ5799 AC DISTRIBUIDORA - GOIANIA - GO,"R$1.039,10"
CJ5800 FMS - ITAMARAJU - BA,"R$87.343,88"
CJ5812 DIMEBRAS - CASAVEL - PR,"R$15.499,58"
CJ5819 CLINICA DE ONCOLOGIA MEDICA - SAO PAULO - SP,"R$41.135,74"
CJ5833 MEDSENIOR SAO PAULO - SP,"R$60.282,15"
CJ5834 PRONTO SOCORRO MEDSENIOR - BRASÍLIA - DF,"R$33.755,42"
CJ5851 DROGARIA IGUATEMI LTDA - SÃO PAULO - SP,"R$5.203,97"
CJ5855 CERRADO SAUDE - RIO VERDE - GO,"R$2.014,46"
CJ5856 UNIMED ONCOLOGIA E INFUSOES - DOURADOS - MS,"R$583.488,38"
CJ5865 FUNDO MUNICIPAL DE SAUDE DE RIO VERDE - GO,"R$276.999,80"
CJ5866 NIMAI - SAO JOSE DOS CAMPOS - SP,"R$4.433,24"
CJ5894 HOSPITAL GERAL DE MANAUS - AM,"R$515.668,32"
CJ5895 ONCOVIDA - TAUBATE - SP,"R$103.676,87"
CJ5898 REVIVE CLINIC - RIBEIRAO PRETO - SP,"R$10.260,80"
CJ5918 SANTA FILOMENA SAUDE - RIO CLARO - SP,"R$69.246,41"
CJ5941 DRF DISTRIBUIDORA - CURITIBA - PR,"R$14.177,28"
CJ5999 FUNDACAO ESTATAL SAUDE DA FAMILIA DA BAHIA FESF - BA,"R$104.212,80"
CJ6007 SAUDE LIVRE VACINAS - SERTAOZINHO - SP,"R$12.595,20"
CJ6021 VACIVITTA - SALTO - SP,"R$31.107,38"
CJ6042 FARMACIA JULIANA - MATA DE SAO JOAO - BA,"R$3.358,72"
CJ6050 PANVEL FARMACIAS - SAO JOSE DOS PINHAIS - PR,"R$9.744,38"
CJ6052 PANVEL FARMACIAS - ELDORADO DO SUL - RS,"R$21.153,12"
CJ6054 A L DE FREITAS DISTRIBUIDORA - GUARULHOS - SP,"R$4.654,08"
CJ6078 MEDSENIOR PORTO ALEGRE - RS,"R$27.135,30"
CJ6150 HOSP-PHARMA MANIPULACAO E SUPRIMENTOS - PORTO ALEGRE - RS,"R$53.281,60"
CJ6151 GABINETE DO MINISTRO - BRASILIA - DF,"R$450.565,30"
CJ6153 QUIMION DISTRIBUIDORA FARMACEUTICA - LONDRINA - PR,"R$5.005,44"
CJ6171 UNIFARMA - CRICIUMA - SC,"R$1.410,74"
CJ6173 BRAVACINAS - CLINICA DE VACINACAO - ITAJAI - SC,"R$659,85"
CJ6176 INSUMA - RIBEIRAO PRETO - SP,"R$137.583,17"
CJ6178 PMPA - PORTO ALEGRE - RS,"R$13.869,80"
CJ6179 FUNDO MUNICIPAL DE SAUDE DE SAO LUIS MARANHAO - MA,"R$27.739,40"
CJ6184 MINISTERIO DA SAUDE - BRASILIA - DF,"R$54.714,03"
CJ6191 IGESP - SAO PAULO - SP,"R$4.787,20"
CJ6192 HOSPITAL HELIOPOLIS - UGA I - SAO PAULO - SP,"R$119.456,68"
CJ6193 INSUMA - BRASILIA - DF,"R$147.723,63"
CJ6194 CLINICASSI JOINVILLE - SC,"R$68.331,52"
CJ6204 HOSPITAL CASSEMS - DOURADOS - MS,"R$2.625,07"
CJ6223 LE CORPS - SAO LUIS - MA,"R$7.946,40"
CJ6225 FUNDACAO SAUDE DO ESTADO DO RIO DE JANEIRO - RJ,"R$167.936,35"
CJ991 UNIMED DE TUPA - SP,"R$22.901,30"
232 ASTRAZENECA DO BRASIL LTDA.,"R$5.307.893,97"
Total,"R$198.249.886,94"
