PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por cliente
01 Abril 2024 - 11 Fevereiro 2026


Cliente ,Vendas 
CJ056 HOSPITAL VITORIA ANALIA FRANCO - SAO PAULO - SP,"R$17.442,02"
CJ057 HOSPITAL MADRE THEODORA - CAMPINAS - SP,"R$18.357,40"
CJ058 ESHO EMPRESA DE SERVICOS HOSPITALARES - SAO PAULO - SP,"R$476.906,17"
CJ059 HOSPITAL PROCARDIACO BOTAFOGO - RIO DE JANEIRO - RJ,"R$8.520,36"
CJ068 FUNDAÇAO EDUCACIONAL SEVERINO SOMBRA - VASSOURAS - RJ,"R$30.215,97"
CJ075 ASSIM SAUDE - RIO DE JANEIRO - RJ,"R$200.877,92"
CJ082 HOSPITAL COPA D'OR STAR - RIO DE JANEIRO - RJ,"R$6.724,26"
CJ083 HOSPITAL DE CLINICAS DE JACAREPAGUA - RJ,"R$1.193,77"
CJ084 HOSPITAL BARRA D'OR - RIO DE JANEIRO - RJ,"R$16.804,26"
CJ085 HINJA - VOLTA REDONDA - RJ,"R$334.184,34"
CJ096 HOSPITAL ADVENTISTA SILVESTRE - RIO DE JANEIRO - RJ,"R$19.906,83"
CJ099 I.O.M. - MACAE - RJ,"R$620.096,32"
CJ102 SANTA CASA DE MISERICORDIA DE RIO CLARO - SP,"R$987.008,03"
CJ104 HOSPITAL DOUTOR BADIM - TIJUCA - RJ,"R$161.936,14"
CJ106 MEDCLINICA DO CENTRO DE TERESOPOLIS - RJ,"R$587.615,80"
CJ109 HOSPITAL PASTEUR - RIO DE JANEIRO - RJ,"R$10.483,25"
CJ129 ONKO SOL ASSISTENCIA MEDICA ONCOLOGICA - CABO FRIO - RJ,"R$1.823.416,35"
CJ130 GARANTIA DE SAUDE BOTAFOGO - RIO DE JANEIRO - RJ,"R$3.545.916,99"
CJ1339 HOSPITAL 22 DE OUTUBRO - MOGI MIRIM - SP,"R$496.308,59"
CJ1357 UNIMED DE OURINHOS COOPERATIVA DE TRABALHO MEDICO - OURINHOS - SP,"R$126.747,58"
CJ1364 SAO FRANCISCO VIDA - JACAREI - SP,"R$1.764.555,99"
CJ1381 UNIMED SUL PAULISTA ITAPETININGA - SP,"R$195.298,06"
CJ1398 ASSOCIAÇAO DOS FORNECEDORES DE CANA DE PIRACICABA - SP,"R$2.387.500,35"
CJ144 HOSPITAL SIRIO LIBANES BELA VISTA - SAO PAULO - SP,"R$29.713.069,12"
CJ146 SOLAR CUIDADOS E SERVICOS EM SAUDE BARRA DA TIJUCA - RJ,"R$531,91"
CJ148 HOSPITAL SAO PAULO - ARARAQUARA - SP,"R$7.519.776,70"
CJ149 HOSPITAL UNIMED ARARAS - SP,"R$2.152.920,80"
CJ152 UNIMED CAMPOS DOS GOYTACAZES - RJ,"R$3.250.310,38"
CJ156 UNIMED DE BARRA MANSA - SP,"R$730.451,60"
CJ1565 HOSPITAL RIOS D'OR FREGUESIA - RIO DE JANEIRO - RJ,"R$5.436,77"
CJ157 HOSPITAL UNIMED BIRIGUI - SP,"R$837.957,58"
CJ159 UNIMED DE NOVA FRIBURGO - RJ,"R$5.404.418,35"
CJ161 UNIMED DE PIRACICABA - SP,"R$6.521.180,46"
CJ163 HOSPITAL UNIMED SANTA BARBARA D'OESTE - SP,"R$5.292.627,46"
CJ1632 ONCOLOGIA REDE D'OR - RIO DE JANEIRO - RJ,"R$3.784,00"
CJ164 UNIMED DE VOLTA REDONDA - RJ,"R$5.795.775,23"
CJ1643 CLICASSI BELO HORIZONTE - MG,"R$826.161,29"
CJ1665 IRMANDADE DA SANTA CASA DE MISERICORDIA DE PIRACICABA - SP,"R$389.090,57"
CJ167 UNIMED MARQUES DE VALENÇA - RJ,"R$181.124,32"
CJ1681 HOSPITAL SIRIO LIBANES UNIDADE ITAIM - SP,"R$246.566,97"
CJ172 UNIMED NORTE FLUMINENSE - SILVA JARDIM - RJ,"R$978.376,73"
CJ173 UNIMED NOVA IGUACU - RJ,"R$3.044.397,40"
CJ174 HOSPITAL UNIMED PETROPOLIS - RJ,"R$865.497,90"
CJ1742 CRUZ AZUL DE SAO PAULO - SP,"R$2.899.690,72"
CJ176 HOSPITAL UNIMED RESENDE - RJ,"R$1.782.729,50"
CJ1760 CASA DE SAUDE SANTA THEREZINHA TIJUCA - RIO DE JANEIRO - RJ,"R$15.033,07"
CJ1779 AUSTACLINICAS ASSISTENCIA MEDICA E HOSPITALAR - SAO JOSE DO RIO PRETO - SP,"R$2.329.524,01"
CJ179 UNIMED RIO BOTAFOGO - RIO DE JANEIRO - RJ,"R$1.364.311,41"
CJ180 UNIMED RIO BARRA DA TIJUCA - RIO DE JANEIRO - RJ,"R$139.084,41"
CJ182 SANTOS DUMONT HOSPITAL - UNIDADE TIVOLI - SAO JOSE DOS CAMPO - SP,"R$6.802.732,25"
CJ183 UNIMED DE SAO JOSE DO RIO PRETO - JARDIM ALTO DO RIO PRETO - SP,"R$20.740.107,59"
CJ1830 UNIMED DE BAURU - SP,"R$6.636.612,89"
CJ1900 COMPLEXO HOSPITALAR SANTA CASA BRAGANCA PAULISTA - SP,"R$1.935.614,06"
CJ191 NOTRE DAME INTERMEDICA SAUDE CENTRO RJ,"R$649.962,35"
CJ193 HOSPITAL SIRIO LIBANES - ASA SUL - BRASILIA - DF,"R$3.186.438,43"
CJ194 HOSPITAL SIRIO LIBANES IV - ASA SUL - BRASILIA - DF,"R$12.262.032,26"
CJ195 UNIMED RONDONOPOLIS - MT,"R$3.340,05"
CJ1969 LEVE SAUDE BARRA DA TIJUCA - RIO DE JANEIRO - RJ,"R$69.597,95"
CJ1994 PETROLEO BRASILEIRO - RIO DE JANEIRO - RJ,"R$271.874,66"
CJ2001 UNIMED DE SANTOS - SP,"R$13.694.206,46"
CJ2007 HOSPITAL SAO VICENTE - SAO JOSÉ DO RIO PARDO -SP,"R$188.869,46"
CJ2020 UNIMED DE ASSIS - SP,"R$59.820,31"
CJ2022 HOSPITAL UNIMED LIMEIRA - SP,"R$3.386.374,33"
CJ203 UNIMED DE BARRETOS - SP,"R$280.466,82"
CJ2032 UNIMED CAMPINAS - SP,"R$6.455,72"
CJ2034 UNIMED DE JUNDIAI - SP,"R$1.009.632,64"
CJ204 UNIMED LESTE PAULISTA - SAO JOAO DA BOA VISTA - SP,"R$4.553.027,58"
CJ208 UNIMED DE SAO ROQUE - SP,"R$585.587,01"
CJ2084 H.B. SAUDE PRESTAÇÃO DE SERVIÇOS MEDICOS - MIRASSOL - SP,"R$125.434,60"
CJ2090 UNIMED BEBEDOURO - SP,"R$242.088,31"
CJ210 CLINICASSI - BRASILIA - DF,"R$2.406.318,70"
CJ2141 UNIMED DE MARILIA - SALGADO FILHO - SP,"R$10.547.058,65"
CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,"R$3.276.701,59"
CJ2288 GS PLANO GLOBAL DE SAUDE - NOVA FRIBURGO - RJ,"R$88.143,57"
CJ2527 HOSPITAL GPACI SOROCABA - SP,"R$47.009,72"
CJ2624 ONCOFARMA - SANTO AMARO - SP,"R$1.579.983,20"
CJ2630 UNIMED DE AVARE - SP,"R$1.234.923,13"
CJ2633 UNIMED DE CAPIVARI COOPERATIVA DE TRABALHO MEDICO - CAPIVARI - SP,"R$362.428,73"
CJ2658 UNIMED DE JABOTICABAL - SP,"R$305.540,43"
CJ2665 UNIMED NORTE PAULISTA - ITUVERAVA - SP,"R$872.319,51"
CJ2689 FLEX SOLUCOES EM GESTAO DE SAUDE - ITAJAI - SC,"R$25.202.426,73"
CJ2696 UNIMED GUARULHOS - SP,"R$913.773,23"
CJ2718 ELETROS SAUDE - RIO DE JANEIRO - RJ,"R$471.387,02"
CJ2724 UNIMED MOCOCA - JARDIM SANTA CECILIA -SP,"R$133.900,88"
CJ2732 HOSPITAL SIRIO LIBANES V - ASA NORTE - BRASILIA - DF,"R$4.194.354,60"
CJ2797 CLINICASSI SAO PAULO - CENTRO - SP,"R$373.411,02"
CJ2822 FUNDACAO ANTONIO PRUDENTE A C CAMARGO - LIBERDADE - SP,"R$6.664.550,64"
CJ2823 UNIMED DE RIBEIRAO PRETO - SP,"R$6.469.418,20"
CJ2948 INSTITUTO DE ONCOLOGIA - JUNDIAI - SP,"R$962.147,88"
CJ3014 FUNDACAO PIO XII - DR PAULO PRATA - BARRETOS - SP,"R$110.776,91"
CJ3023 CENTRO DE ONCOLOGIA MEDSENIOR - BELO HORIZONTE - MG,"R$19.367,04"
CJ3032 PRONTO SOCORRO MEDSENIOR - BELO HORIZONTE - MG,"R$1.838.104,86"
CJ3057 CORP - SAO JOSE DO RIO PRETO - SP,"R$59.452,18"
CJ3058 UNIMED DE VOTUPORANGA - SP,"R$107.840,22"
CJ306 CAMED - FORTALEZA - CE,"R$187.098,60"
CJ3092 SAO LUCAS SAUDE - AMERICANA - SP,"R$1.994.923,75"
CJ3099 UNIMED CENTRO PAULISTA - LIMEIRA - SP,"R$829.092,56"
CJ3121 UNIMED ALTA MOGIANA - ORLANDIA - SP,"R$442.864,11"
CJ3159 HOSPITAL DE BASE - SAO JOSE DO RIO PRETO - SP,"R$2.629.728,46"
CJ319 CLINICA DE ONCOLOGIA E MASTOLOGIA DE NATAL - RN,"R$411.315,14"
CJ3196 CID CENTRO DE INFUSAO - BOTAFOGO - RJ,"R$5.995,46"
CJ320 VITTA CENTRO DE ONCOLOGIA - ARACAJU - SE,"R$14.597,64"
CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,"R$2.371.457,05"
CJ3231 HOSPITAL UNIMED SAO CARLOS  - UNIDADE II - SP,"R$5.534.238,74"
CJ324 HOSPITAL CLIOM - MACEIO - AL,"R$593.804,02"
CJ3249 HOSP CANCER INFANTO-JUVENIL LUIZ INACIO LULA DA SILVA  - BARRETOS - SP,"R$4.650,00"
CJ3264 NOVO HOSPITAL ROD UNIMED SALTO ITU - SP,"R$914.573,70"
CJ3290 HOSPITAL UNIMED REGIONAL JAU - SP,"R$2.622.953,62"
CJ3297 SERVICO DE QUIMIOTERAPIA UNIMED DE JABOTICABAL - SP,"R$1.091.061,94"
CJ3311 DF TRANSPORTES - BRASILIA - DF,"R$832.828,14"
CJ3423 INCOP INSTITUTO DO CANCER OESTE PAULISTA - PRESIDENTE PRUDENTE  - SP,"R$684.022,16"
CJ3427 ALBERT SABIN HOSPITAL E MATERNIDADE - ATIBAIA  - SP,"R$162.452,00"
CJ3435 HOSPITAL UNIMED DE RIO CLARO - SP,"R$1.807.201,28"
CJ3470 ONCO CLINICAS - SOROCABA - SP,"R$4.770.821,56"
CJ3476 UNIMED DE MONTE ALTO  - SP,"R$37.084,91"
CJ3483 UNIMED ITATIBA - SP,"R$280.479,61"
CJ350 INSTITUTO DE ONCO HEMATOLOGIA DE NATAL - RN,"R$108.394,44"
CJ3508 UNIMED DE TATUI - SP,"R$520.701,34"
CJ3537 CIP CENTRO DE INFUSOES PACAEMBU - SAO PAULO - SP,"R$17.803,61"
CJ358 MEDRADIUS - MACEIO - AL,"R$11.898,73"
CJ3596 SAUDE BENEFICENCIA - CAMPINAS - SP,"R$2.023.839,25"
CJ3622 HOSPITAL DAS NEVES - JOAO PESSOA - PB,"R$1.934,08"
CJ3630 AMIL ESPACO SAUDE TATUAPE - SAO PAULO - SP,"R$88.583,34"
CJ364 OMINT SAUDE - SAO PAULO - SP,"R$8.316.753,21"
CJ3644 HOSPITAL UNIMED - UNIDADE ANCHIETA - JUNDIAI - SP,"R$2.343.503,60"
CJ3655 C.T.O. - RIBEIRAO PRETO - SP,"R$1.055.870,70"
CJ367 ONCOCLINICA - JOAO PESSOA - PB,"R$115.180,86"
CJ3687 UNIMED DE MOCOCA - SP,"R$469.001,46"
CJ3713 CONSULTORIO UNIMED 24 HORAS - BARRA DO PIRAI - RJ,"R$459.595,25"
CJ375 HOSPITAL MARIO LIONI - DUQUE DE CAXIAS - RJ,"R$10.780,99"
CJ3761 CEMED CARE - NITEROI - RJ,"R$71.779,20"
CJ3783 IPC - SAO PAULO - SP,"R$4.182.726,81"
CJ382 QUIMIOCLINIC - FORTALEZA - CE,"R$9.758,72"
CJ383 HOSPITAL PORTUGUES - RECIFE - PE,"R$133.053,38"
CJ384 HOSPITAL PORTUGUES - SALVADOR - BA,"R$31.731,58"
CJ385 REMED MEDICAMENTOS ESPECIAIS - PORTO ALEGRE - RS,"R$2.949,15"
CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,"R$390.070,47"
CJ387 SANTA CASA DE MISERICORDIA DE ITABUNA - BA,"R$12.366,75"
CJ3899 INSTITUTO CAMPOS MAIA - SOROCABA - SP,"R$56.625,88"
CJ3942 UNIMED DE IBITINGA - OPERADORA - SP,"R$10.093,91"
CJ3950 PHS SAMARITANO SAUDE - CAMPINAS - SP,"R$1.482.333,99"
CJ3962 HOSPITAL CARLOS FERNANDO MALZONI - MATAO - SP,"R$399.267,30"
CJ3975 HOSPITAL PADRE ALBINO - CATANDUVA - SP,"R$776.378,69"
CJ3987 VIVENCE TERAPIA ASSISTIDA - PIRACICABA - SP,"R$111.423,01"
CJ400 HOSPITAL UNIMED MACEIO - AL,"R$1.685.399,93"
CJ401 UNIMED NATAL - RN,"R$5.256.535,34"
CJ4012 HOSPITAL POLICLIN - SAO JOSE DOS CAMPOS - SP,"R$545.179,13"
CJ403 HOSPITAL UNIMED RECIFE - PE,"R$1.763.080,99"
CJ4039 HOSPITAL UNIMED ANTONIO GELIS - LINS -SP,"R$1.152.614,02"
CJ404 UNIMED LESTE FLUMINENSE - NITEROI - RJ,"R$1.680.841,58"
CJ405 UNIMED SERGIPE - ARACAJU - SE,"R$886.057,86"
CJ4050 HOSPITAL ALEMAO OSWALDO CRUZ - SAO PAULO - SP,"R$25.187,36"
CJ4066 CASSI - CLINICASSI SAO JOSE DO RIO PRETO - SP,"R$2.822.556,93"
CJ4069 SANTA CASA DE MONTE ALTO - SP,"R$84.900,61"
CJ4073 MEDSENIOR BRASILIA - DF,"R$2.430.069,78"
CJ408 HOSPITAL SANTA CECILIA - VOLTA REDONDA - RJ,"R$113.926,63"
CJ4082 HOSPITAL SAO FRANCISCO NA PROVIDENCIA DE DEUS - TIJUCA - RJ,"R$13.347,49"
CJ4102 HOSPITAL ESTADUAL JOAO PAULO II - SAO JOSE DO RIO PRETO - SP,"R$8.424,88"
CJ4103 HOSPITAL UNIVERSITARIO SAO FRANCISCO PROVIDENCIA DE DEUS - BRAGANCA PAULISTA - SP,"R$27.803,07"
CJ4123 CSPM - CASA DE SAUDE PINHEIRO MACHADO - BOTAFOGO - RJ,"R$2.029,82"
CJ4141 ICC INSTITUTO DO CANCER DO CEARA - FORTALEZA - CE,"R$22.142,78"
CJ4157 HOSPITAL DA CRIANCA - INSTITUTO D'OR - VILA VALQUEIRE - RJ,"R$30.497,78"
CJ4159 PRONTO ATENDIMENTO UNIMED  - MARILIA - SP,"R$12.637,79"
CJ4160 UNIMED RIO PRONTO ATENDIMENTO FILIAL - COPACABANA - RJ,"R$17.472,00"
CJ4182 HOSPITAL SANTA LYDIA - RIBEIRAO PRETO - SP,"R$15.969,02"
CJ419 HOSPITAL E MATERNIDADE SANTA LUCIA BOTAFOGO - RIO DE JANEIRO  - RJ,"R$1.329,80"
CJ4195 SAO JOAQUIM HOSPITAL E MATERNIDADE - FRANCA - SP,"R$6.286.677,53"
CJ4202 NITEROI D'OR - SANTA ROSA - RJ,"R$4.462,47"
CJ4206 PROPAT - HOSPITAL JORGE VALENTE - SALVADOR - BA,"R$18.385,82"
CJ4207 ONCOVIE SERVICOS DE ONCOLOGIA HEMATOLOGIA E TERAPIA BIOLOGICA - FORTALEZA - CE,"R$34.425,89"
CJ4208 NOHC - NUCLEO DE ONCOLOGIA E HEMATOLOGIA DO CEARA - FORTALEZA - CE,"R$8.994,24"
CJ4209 REDE D'OR - FARMACIA ONCO STAR - INDIANOPOLIS - SP,"R$7.207,78"
CJ421 HOSPITAL VERA CRUZ - CAMPINAS - SP,"R$13.280.567,83"
CJ4232 CASA DE SAUDE SANTA HELENA - SAO JOSE DO RIO PRETO - SP,"R$20.283,10"
CJ424 UNIMED DE PRESIDENTE PRUDENTE - SP,"R$13.250.926,76"
CJ4247 HOSPITAL UNIMED COSTA DO SOL - UNIDADE GLORIA - MACAE - RJ,"R$3.824.662,07"
CJ4248 CTO - CENTRO DE TRATAMENTO ONCOLOGICO - ITATIBA - SP,"R$3.391,58"
CJ4251 HOSPITAL ARISTIDES MALTEZ - SALVADOR - BA,"R$21.462,78"
CJ4254 CASA DE SAUDE - HOSPITAL VERA CRUZ - CAMPINAS - SP,"R$52.694,79"
CJ4258 IMIP - RECIFE - PE,"R$3.162,13"
CJ4280 HOSPITAL QUINTA D'OR - SAO CRISTOVAO - RJ,"R$19.860,11"
CJ4294 PRONTO ATENDIMENTO CENTRO MEDICO SAO CAMILO - INDAIATUBA - SP,"R$64.619,77"
CJ4295 UNIMED DE BATATAIS - SP,"R$6.777,99"
CJ4313 HOSPITAL UNIMED AMERICANA - SP,"R$52.761,44"
CJ4339 HOSPITAL SAO RAFAEL - IMPERATRIZ - MA,"R$15.460,08"
CJ4382 FUNDACAO PIO XII - HOSPITAL DE AMOR - PORTO VELHO - RO,"R$41.614,17"
CJ4398 HOSPITAL SAO MATEUS - FORTALEZA - CE,"R$7.457,52"
CJ4399 GASTROCLINICA - FORTALEZA - CE,"R$4.600,45"
CJ4402 HOSPITAL OTOCLINICA - FORTALEZA - CE,"R$13.993,42"
CJ4421 HOSPITAL SAMARITANO - BARRA DA TIJUCA - RJ,"R$2.016,86"
CJ4438 HOSPITAL SAMARITANO PAULISTA - SAO PAULO - SP,"R$44.976,64"
CJ4439 HOSPITAL COPA D'OR - COPACABANA - RJ,"R$114.149,49"
CJ4446 HOSPITAL ADVENTISTA DE SAO PAULO - LIBERDADE - SP,"R$527.937,23"
CJ4455 TRANSMONTANO SAUDE SE - SAO PAULO - SP,"R$5.134.556,86"
CJ4456 SANTA CASA DE MISERICORDIA DE TUPA - SP,"R$17.070,48"
CJ4466 HOSPITAL DE CLINICAS RIO MAR BARRA - RJ,"R$3.759,40"
CJ4471 AACD - VILA CLEMENTINO - SAO PAULO - SP,"R$14.332,53"
CJ4475 HOSPITAL OESTE D'OR CAMPO GRANDE - RIO DE JANEIRO - RJ,"R$19.091,05"
CJ4479 PAMED DISTRIBUICAO DE MEDICAMENTOS BOTAFOGO - RIO DE JANEIRO - RJ,"R$172.330,52"
CJ4494 HOSPITAL SAO FRANCISCO - MOGI GUACU - SP,"R$12.232,00"
CJ4499 HOSPITAL SAO RAIMUNDO - FORTALEZA - CE,"R$16.620,64"
CJ4515 CLINICA SAO VICENTE D'OR - INTEGRADOS DA GAVEA - RIO DE JANEIRO - RJ,"R$18.763,35"
CJ4516 HOSPITAL CAXIAS D'OR - DUQUE DE CAXIAS - RJ,"R$9.506,54"
CJ4540 BLK SERVICOS MEDICOS BARRA DA TIJUCA - RIO DE JANEIRO - RJ,"R$612,00"
CJ4561 HOSPITAL NORTE D'OR DE CASCADURA - RIO DE JANEIRO - RJ,"R$5.977,74"
CJ4562 MATERNIDADE PERINATAL BARRA - RIO DE JANEIRO - RJ,"R$6.021,81"
CJ4563 MEDICARE DISTRIBUIDORA JACAREPAGUA - RIO DE JANEIRO - RJ,"R$7.629,36"
CJ4565 CLINICA PORTUGAL BARRA DA TIJUCA - RIO DE JANEIRO - RJ,"R$2.230,27"
CJ4567 RJ MED IMPORT E EXPORT DE MED E MATERIAL HOSP NOVA CIDADE - NILOPOLIS - RJ,"R$42.156,70"
CJ4568 HOSPITAL BENEFICENCIA PORTUGUESA BOTAFOGO - CAMPINAS - SP,"R$10.730,35"
CJ4578 SANTA CASA DE JAU - SP,"R$4.612,50"
CJ4582 HOSPITAL BANGU D'OR - RIO DE JANEIRO - RJ,"R$2.431,17"
CJ4595 UNIMED DE SOROCABA - SP,"R$4.337.917,27"
CJ4598 SIM - SERVICO DE INFUSAO DE MEDICAMENTOS - RIBEIRAO PRETO - SP,"R$110.390,72"
CJ4607 FARMATITO FARMACIA - AREAL - RJ,"R$765,60"
CJ4633 COTRES CLINICA ORTOPEDICA E TRAUMAT RECREIO SHOPPING - RIO DE JANEIRO - RJ,"R$380,00"
CJ4655 HOSPITAL UNIMED DE ARACATUBA - SP,"R$1.358.971,21"
CJ4667 HOSPITAL UNIMED CUIABA - MT,"R$13.689.811,63"
CJ4671 PRONTO SAUDE ASSISTENCIA MEDICA LTDA - RIO DE JANEIRO - RJ,"R$41.682,13"
CJ4676 CEMED CARE AMIL ESPACO SAUDE CAMPO GRANDE - RIO DE JANEIRO - RJ,"R$235.428,25"
CJ4688 FUNDACAO DOUTOR AMARAL CARVALHO - JAU - SP,"R$516.114,63"
CJ4704 CLINICA MINHA SAUDE PIRATININGA - NITEROI - RJ,"R$6.577,73"
CJ4720 SANTA CASA DE MISERICORDIA - SAO JOSE DO RIO PRETO - SP,"R$171.835,52"
CJ4728 CENTRO ONCOLOGICO DEVITA - SOROCABA - SP,"R$1.249.590,66"
CJ4737 AMERICANCOR HOSPITAL - RIO DE JANEIRO - RJ,"R$25.987,17"
CJ4745 ENDODIAGNOSTIC COPACABANA - RIO DE JANEIRO - RJ,"R$115.034,61"
CJ4753 HOSPITAL INFANTE DOM HENRIQUE - SAO JOSE DO RIO PRETO - SP,"R$1.484.589,67"
CJ4757 NOA - NUCLEO DE ONCOLOGIA DO AGRESTE - CARUARU - PE,"R$765.740,41"
CJ4766 CASSEMS - CAMPO GRANDE - MS,"R$6.670.984,38"
CJ4785 IONE - INSTITUTO DE ONCOLOGIA DO NORDESTE - PE,"R$108.146,61"
CJ4794 INSTITUTO MULTIDICIPLINAR DE CANCEROLOGIA - SAO JOSE DOS CAMPOS - SP,"R$714.805,41"
CJ4795 PRONTO SOCORRO MEDSENIOR - VILA VELHA - ES,"R$148.381,78"
